classid,TH_name,EN_name,Semester,Year
143750,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
143951,"วข.201
การจัดการฐานข้อมูล","DSI201
DATABASE MANAGEMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2562,2562
143952,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
143953,"วข.201
การจัดการฐานข้อมูล","DSI201
DATABASE MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2562,2562
145305,"วข.314
โครงการด้านการวิเคราะห์ข้อมูลสำหรับธุรกิจ","DSI314
BUSINESS ANALYTICS CAPSTONE PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148120,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148314,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148357,"วข.311
อัลกอริทึมของวิทยาศาสตร์ข้อมูล","DSI311
DATA SCIENCE ALGORITHMS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148366,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148367,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148533,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148534,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148535,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
148594,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2563,2563
150985,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
150986,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
151752,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152058,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152059,"วข.323
แพลตฟอร์มของธรรมาภิบาลข้อมูล","DSI323
DATA GOVERNANCE PLATFORM",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152074,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152075,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152282,"วข.321
โครงสร้างพื้นฐานคอมพิวเตอร์สำหรับการประมวลข้อมูลขนาดใหญ่","DSI321
BIG DATA INFRASTRUCTURE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152284,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152287,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152288,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152289,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152555,"วข.322
ธรรมาภิบาลข้อมูล","DSI322
DATA GOVERNANCE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
152556,"วข.324
โครงงานด้านธรรมาภิบาลข้อมูล","DSI324
PRACTICAL DATA GOVERNANCE PROJECT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2563,2563
153711,"วข.442
ระบบฐานความรู้","DSI442
KNOWLEDGE-BASED SYSTEM",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
153713,"วข.443
การทำเหมืองสื่อประสม","DSI443
MULTIMEDIA MINING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
153978,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
153979,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
153980,"วข.311
อัลกอริทึมของวิทยาศาสตร์ข้อมูล","DSI311
DATA SCIENCE ALGORITHMS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
154220,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
154221,"วข.441
โครงข่ายประสาทเทียมและการเรียนรู้เชิงลึก","DSI441
ARTIFICIAL NEURAL NETWORK AND DEEP LEARNING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
155105,"วข.203
การแก้ปัญหาภายใต้ความไม่แน่นอน","DSI203
PROBLEM SOLVING UNDER UNCERTAINTY",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
155871,"วข.203
การแก้ปัญหาภายใต้ความไม่แน่นอน","DSI203
PROBLEM SOLVING UNDER UNCERTAINTY",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156115,"วข.214
โครงการด้านการวิเคราะห์ข้อมูลสำหรับธุรกิจ","DSI314
BUSINESS ANALYTICS CAPSTONE PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156118,"วข.444
โครงงานด้านเทคโนโลยีปัญญาประดิษฐ์","DSI444
PRACTICAL ARTIFICIAL INTELLIGENT TECHNOLOGY PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156176,"วข.440
ความรู้เบื้องตันเกี่ยวกับปัญญาประดิษฐ์และการเรียนรู้ของเครื่อง","DSI440
INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156199,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156200,"วข.100
วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน","DSI100
DATA SCIENCE FOR EVERYDAY LIFE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156201,"วข.312
ระบบธุรกิจอัจฉริยะ","DSI312
BUSINESS INTELLIGENCE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
156247,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
158705,"วข.204
การคิดเชิงความน่าจะเป็น","DSI204
PROBABILITY THINKING",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
159596,"วข.322
ธรรมาภิบาลข้อมูล","DSI322
DATA GOVERNANCE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
159977,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2 ปีการศึกษาที่ 2564,2564
160336,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
160472,"วข.324
โครงงานด้านธรรมาภิบาลข้อมูล","DSI324
PRACTICAL DATA GOVERNANCE PROJECT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
160618,"วข.202
การพัฒนาซอฟท์แวร์ขั้นสมบูรณ์","DSI202
FULL STACK SOFTWARE DEVELOPMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
160621,"วข.321
โครงสร้างพื้นฐานคอมพิวเตอร์สำหรับการประมวลข้อมูลขนาดใหญ่","DSI321
BIG DATA INFRASTRUCTURE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
160949,"วข.201
การจัดการฐานข้อมูล","DSI201
DATABASE MANAGEMENT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
160950,"วข.320
สถาปัตยกรรมการจัดการข้อมูล","DSI320
DATA ARCHITECTURE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
161134,"วข.323
แพลตฟอร์มของธรรมาภิบาลข้อมูล","DSI323
DATA GOVERNANCE PLATFORM",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
161149,"วข.205
พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล","DSI205
BASICS OF LINEAR ALGEBRA FOR DATA ANALYTICS",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2564,2564
162918,"วข.462
ผู้นำในยุควิทยาศาสตร์ข้อมูลและนวัตกรรม","DSI462
LEADERSHIP IN DATA SCIENCE AND INNOVATION ERA",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2564,2564
163933,"วข.311
อัลกอริทึมของวิทยาศาสตร์ข้อมูล","DSI311
DATA SCIENCE ALGORITHMS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164064,"วข.380
ฝึกปฏิบัติงานทางวิทยาศาสตร์และนวัตกรรมข้อมูล","DSI380
DATA SCIENCE AND INNOVATION INTERNSHIP",ภาคการศึกษาที่ 3   ปีการศึกษาที่ 2564,2564
164189,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164190,"วข.310
การสำรวจและการเตรียมข้อมูล","DSI310
DATA EXPLORATION AND PREPROCESSING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164191,"วข.441
โครงข่ายประสาทเทียมและการเรียนรู้เชิงลึก","DSI441
ARTIFICIAL NEURAL NETWORK AND DEEP LEARNING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164192,"วข.444
โครงงานด้านเทคโนโลยีปัญญาประดิษฐ์","DSI444
PRACTICAL ARTIFICIAL INTELLIGENT TECHNOLOGY PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164448,"วข.203
การแก้ปัญหาภายใต้ความไม่แน่นอน","DSI203
PROBLEM SOLVING UNDER UNCERTAINTY",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164663,"วข.312
ระบบธุรกิจอัจฉริยะ","DSI312
BUSINESS INTELLIGENCE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164769,"วข.200
การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล","DSI200
DATA ANALYTICS PROGRAMMING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
164770,"วข.206
การจัดการข้อมูลสื่อประสม","DSI206
MULTIMEDIA REPRESENTATION MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
166868,"วข.473
การวิเคราะห์ข้อมูลสุขภาพ","DSI473
HEALTH DATA ANALYSIS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
167052,"วข.462
ผู้นำในยุควิทยาศาสตร์ข้อมูลและนวัตกรรม","DSI462
LEADERSHIP IN DATA SCIENCE AND INNOVATION ERA",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
167797,"วข.440
ความรู้เบื้องตันเกี่ยวกับปัญญาประดิษฐ์และการเรียนรู้ของเครื่อง","DSI440
INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
